Year-Month,Date,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Run,Hi Speed,Wind Chill,Heat Index,THW Index,Bar,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,ET,Wind Samp,ISS Recept,Arc. Int.
2010-05,2010-05-16 00:00:00,9.19500448028674,9.35356182795699,9.036850358422939,66.15322580645162,2.1708109318996414,2.8886872759856628,0.48253360215053764,7.511693548387097,8.970474910394266,8.633557347670251,8.409341397849463,766.7171370967742,0.9087813620071684,11.81568100358423,70.70318100358423,1.0135640681003584,80.08422939068102,0.06544354838709678,0.0019796146953405015,12.659901433691756,54.59543010752688,3.300739247311828,11.868727598566307,0.010356182795698925,220.26344086021507,96.52329749103943,10.0
2010-06,2010-06-15 12:00:00,7.458171296296297,7.589768518518519,7.323125,69.23726851851852,1.5217824074074073,4.673680555555555,0.7800532407407407,10.322013888888888,6.916203703703704,7.000347222222222,6.458634259259259,765.3026620370371,0.0031944444444444446,0.012222222222222223,55.01967592592593,0.7887037037037037,63.99953703703704,0.07570555555555555,0.000175,10.68923611111111,61.575,3.4678240740740742,10.138981481481482,0.009550925925925926,219.46412037037038,96.23282407407406,10.0
2010-07,2010-07-16 00:00:00,5.355689964157706,5.516039426523298,5.193570788530466,57.20631720430107,-3.256362007168459,4.243794802867383,0.7083355734767025,9.873185483870966,4.784498207885305,4.728606630824372,4.157123655913979,767.3443996415771,8.960573476702509e-05,0.0,69.62410394265233,0.9980600358422939,79.59498207885305,0.0902421594982079,0.00011581541218637993,9.127710573476701,47.46998207885305,-1.605712365591398,8.332504480286739,0.011451612903225807,218.82594086021507,95.81554659498208,10.0
2010-08,2010-08-16 00:00:00,7.348991935483871,7.5256944444444445,7.174350358422939,50.05040322580645,-3.476164874551971,4.599171146953405,0.7678673835125448,10.601097670250896,6.894780465949821,6.454368279569893,6.00038082437276,768.1619175627239,0.00022401433691756272,0.0005824372759856631,96.0100806451613,1.3763172043010752,109.7081093189964,0.07702800179211469,0.0007573924731182795,10.721639784946237,41.70004480286738,-1.9864023297491038,9.638732078853046,0.01578405017921147,219.7513440860215,96.2288082437276,10.0
2010-09,2010-09-15 12:00:00,11.697685185185184,11.868726851851852,11.525115740740741,50.99814814814815,0.5120370370370371,4.098148148148148,0.6840069444444445,9.827430555555557,11.489814814814816,10.705439814814815,10.498078703703703,765.8366435185185,0.016527777777777777,0.1740277777777778,157.1326388888889,2.2525208333333335,173.64652777777778,0.04907847222222222,0.0029944444444444445,15.273773148148148,43.39375,2.408634259259259,14.005416666666667,0.021939814814814815,217.89814814814815,95.52780092592593,10.0
2010-10,2010-10-16 00:00:00,15.573812724014337,15.743817204301076,15.40497311827957,51.30152329749104,4.366509856630824,3.385103046594982,0.56521729390681,9.556742831541218,15.4328853046595,14.656720430107528,14.515344982078853,763.9151657706093,0.0064516129032258064,0.06509856630824373,223.75044802867382,3.207484318996416,242.57258064516128,0.03003203405017921,0.010875224014336918,19.529278673835126,44.546370967741936,6.812163978494624,18.533221326164874,0.02823252688172043,218.5840053763441,95.82623207885305,10.0
2010-11,2010-11-15 12:00:00,18.384035829307567,18.560015096618358,18.2085557568438,46.932286634460546,5.766036634460548,4.514856078904992,0.7538097826086957,12.32381843800322,18.29772041062802,17.413177334943637,17.326837761674717,761.9047373188406,0.0002314814814814815,0.0,263.04237117552333,3.7707931763285023,284.9514995974235,0.015884772544283412,0.01623790257648953,23.41270933977456,37.08516505636071,7.596005434782609,22.388062600644123,0.03509349838969404,219.43645330112722,96.2087801932367,10.0
2010-12,2010-12-16 00:00:00,21.251008064516128,21.431989247311826,21.067473118279572,41.69735663082437,6.447603046594982,5.296057347670251,0.8839852150537634,14.622513440860214,21.11825716845878,20.290972222222223,20.157728494623658,758.4648745519713,0.004659498207885305,0.08189964157706092,289.1758512544803,4.145400985663082,313.4704301075269,0.010017697132616486,0.030276209677419355,26.40965501792115,31.68010752688172,7.854278673835125,25.508624551971327,0.041178315412186375,221.41644265232975,97.03658154121864,10.0
2011-01,2011-01-16 00:00:00,22.13707437275986,22.30703405017921,21.96556899641577,50.56877240143369,10.002486559139786,3.899887992831541,0.6514359318996417,11.460147849462366,22.06146953405018,21.658736559139786,21.583176523297492,758.7982750896057,0.0037186379928315413,0.03431899641577061,270.168458781362,3.8728718637992836,289.0226254480287,0.007240591397849463,0.03365210573476702,27.585125448028673,39.39448924731183,12.001120071684587,27.384879032258063,0.03683691756272402,220.54928315412184,96.66534498207885,10.0
2011-02,2011-02-14 12:00:00,21.675049603174603,21.862103174603174,21.48673115079365,50.19667658730158,9.588789682539682,3.3869295634920635,0.5660218253968254,10.226661706349207,21.639459325396825,21.12395833333333,21.08859126984127,761.8154265873015,0.0001984126984126984,0.003918650793650794,256.13963293650795,3.6718377976190477,274.6326884920635,0.00971875,0.03293625992063492,27.21282242063492,36.55555555555556,10.747371031746031,26.655109126984126,0.034754464285714284,220.5250496031746,96.63908730158731,10.0
2011-03,2011-03-16 00:00:00,17.960184149595793,18.15388869267195,17.767214275436256,56.15283500771786,7.83093981372472,2.645696799047694,0.4422075223033253,8.488641328519478,17.917216728147974,17.40178966198362,17.3585522787327,761.6423001203464,0.004572181670721817,0.050492831541218634,200.36936366847186,2.8723699899275306,211.963762001936,0.022875505258613923,0.02028701141982576,23.17334294796327,41.92258260733067,9.224414619469952,22.491621046228712,0.026683966459984824,219.7150586688643,96.30984714700573,10.0
