Dia;Mes;Año;Fecha;Altura (m);Cota IGN (msnm);Cota IGN (msnm) corregida
24;5;2016;24/5/2016;3,26;199,557;200,467
25;5;2016;25/5/2016;3,28;199,575;200,485
26;5;2016;26/5/2016;3,34;199,639;200,549
27;5;2016;27/5/2016;3,31;199,612;200,522
28;5;2016;28/5/2016;3,33;199,628;200,538
29;5;2016;29/5/2016;3,32;199,616;200,526
30;5;2016;30/5/2016;3,33;199,63;200,54
31;5;2016;31/5/2016;3,34;199,636;200,546
1;6;2016;1/6/2016;3,29;199,589;200,499
2;6;2016;2/6/2016;3,22;199,522;200,432
3;6;2016;3/6/2016;3,21;199,514;200,424
4;6;2016;4/6/2016;3,21;199,513;200,423
5;6;2016;5/6/2016;3,22;199,519;200,429
6;6;2016;6/6/2016;3,19;199,495;200,405
7;6;2016;7/6/2016;3,16;199,463;200,373
8;6;2016;8/6/2016;3,2;199,5;200,41
9;6;2016;9/6/2016;3,18;199,478;200,388
10;6;2016;10/6/2016;3,17;199,473;200,383
11;6;2016;11/6/2016;3,17;199,473;200,383
12;6;2016;12/6/2016;3,17;199,471;200,381
13;6;2016;13/6/2016;3,17;199,473;200,383
14;6;2016;14/6/2016;3,15;199,449;200,359
15;6;2016;15/6/2016;3,16;199,458;200,368
16;6;2016;16/6/2016;3,14;199,438;200,348
17;6;2016;17/6/2016;2,99;199,286;200,196
18;6;2016;18/6/2016;2,59;198,891;199,801
19;6;2016;19/6/2016;2,33;198,634;199,544
20;6;2016;20/6/2016;2,08;198,383;199,293
21;6;2016;21/6/2016;1,86;198,16;199,07
22;6;2016;22/6/2016;1,67;197,974;198,884
23;6;2016;23/6/2016;1,58;197,881;198,791
24;6;2016;24/6/2016;1,58;197,884;198,794
25;6;2016;25/6/2016;1,57;197,873;198,783
26;6;2016;26/6/2016;1,46;197,763;198,673
27;6;2016;27/6/2016;1,34;197,64;198,55
28;6;2016;28/6/2016;1,33;197,629;198,539
29;6;2016;29/6/2016;1,32;197,617;198,527
30;6;2016;30/6/2016;1,31;197,606;198,516
1;7;2016;1/7/2016;1,3;197,597;198,507
2;7;2016;2/7/2016;1,29;197,588;198,498
3;7;2016;3/7/2016;1,28;197,581;198,491
4;7;2016;4/7/2016;1,27;197,573;198,483
5;7;2016;5/7/2016;1,27;197,565;198,475
6;7;2016;6/7/2016;1,26;197,558;198,468
7;7;2016;7/7/2016;1,25;197,55;198,46
8;7;2016;8/7/2016;1,24;197,543;198,453
9;7;2016;9/7/2016;1,24;197,537;198,447
10;7;2016;10/7/2016;1,23;197,53;198,44
11;7;2016;11/7/2016;1,22;197,524;198,434
12;7;2016;12/7/2016;1,22;197,517;198,427
13;7;2016;13/7/2016;1,21;197,511;198,421
14;7;2016;14/7/2016;1,21;197,506;198,416
15;7;2016;15/7/2016;1,2;197,501;198,411
16;7;2016;16/7/2016;1,2;197,495;198,405
17;7;2016;17/7/2016;1,19;197,49;198,4
18;7;2016;18/7/2016;1,18;197,485;198,395
19;7;2016;19/7/2016;1,18;197,48;198,39
20;7;2016;20/7/2016;1,17;197,475;198,385
21;7;2016;21/7/2016;1,17;197,47;198,38
;;2016;22/7/2016;;;
;;2016;23/7/2016;;;
;;2016;24/7/2016;;;
;;2016;25/7/2016;;;
;;2016;26/7/2016;;;
;;2016;27/7/2016;;;
;;2016;28/7/2016;;;
;;2016;29/7/2016;;;
;;2016;30/7/2016;;;
;;2016;31/7/2016;;;
;;2016;1/8/2016;;;
;;2016;2/8/2016;;;
;;2016;3/8/2016;;;
;;2016;4/8/2016;;;
;;2016;5/8/2016;;;
;;2016;6/8/2016;;;
;;2016;7/8/2016;;;
;;2016;8/8/2016;;;
;;2016;9/8/2016;;;
;;2016;10/8/2016;;;
;;2016;11/8/2016;;;
;;2016;12/8/2016;;;
;;2016;13/8/2016;;;
;;2016;14/8/2016;;;
;;2016;15/8/2016;;;
;;2016;16/8/2016;;;
;;2016;17/8/2016;;;
;;2016;18/8/2016;;;
;;2016;19/8/2016;;;
;;2016;20/8/2016;;;
;;2016;21/8/2016;;;
;;2016;22/8/2016;;;
;;2016;23/8/2016;;;
;;2016;24/8/2016;;;
;;2016;25/8/2016;;;
;;2016;26/8/2016;;;
;;2016;27/8/2016;;;
;;2016;28/8/2016;;;
;;2016;29/8/2016;;;
;;2016;30/8/2016;;;
;;2016;31/8/2016;;;
;;2016;1/9/2016;;;
;;2016;2/9/2016;;;
;;2016;3/9/2016;;;
;;2016;4/9/2016;;;
;;2016;5/9/2016;;;
;;2016;6/9/2016;;;
;;2016;7/9/2016;;;
;;2016;8/9/2016;;;
;;2016;9/9/2016;;;
;;2016;10/9/2016;;;
;;2016;11/9/2016;;;
;;2016;12/9/2016;;;
;;2016;13/9/2016;;;
;;2016;14/9/2016;;;
;;2016;15/9/2016;;;
;;2016;16/9/2016;;;
;;2016;17/9/2016;;;
;;2016;18/9/2016;;;
;;2016;19/9/2016;;;
;;2016;20/9/2016;;;
;;2016;21/9/2016;;;
;;2016;22/9/2016;;;
;;2016;23/9/2016;;;
;;2016;24/9/2016;;;
;;2016;25/9/2016;;;
;;2016;26/9/2016;;;
;;2016;27/9/2016;;;
;;2016;28/9/2016;;;
;;2016;29/9/2016;;;
;;2016;30/9/2016;;;
;;2016;1/10/2016;;;
;;2016;2/10/2016;;;
;;2016;3/10/2016;;;
;;2016;4/10/2016;;;
;;2016;5/10/2016;;;
;;2016;6/10/2016;;;
;;2016;7/10/2016;;;
;;2016;8/10/2016;;;
;;2016;9/10/2016;;;
;;2016;10/10/2016;;;
;;2016;11/10/2016;;;
;;2016;12/10/2016;;;
;;2016;13/10/2016;;;
;;2016;14/10/2016;;;
;;2016;15/10/2016;;;
;;2016;16/10/2016;;;
;;2016;17/10/2016;;;
;;2016;18/10/2016;;;
;;2016;19/10/2016;;;
;;2016;20/10/2016;;;
;;2016;21/10/2016;;;
;;2016;22/10/2016;;;
;;2016;23/10/2016;;;
;;2016;24/10/2016;;;
;;2016;25/10/2016;;;
;;2016;26/10/2016;;;
;;2016;27/10/2016;;;
;;2016;28/10/2016;;;
;;2016;29/10/2016;;;
;;2016;30/10/2016;;;
;;2016;31/10/2016;;;
;;2016;1/11/2016;;;
;;2016;2/11/2016;;;
;;2016;3/11/2016;;;
;;2016;4/11/2016;;;
;;2016;5/11/2016;;;
;;2016;6/11/2016;;;
;;2016;7/11/2016;;;
;;2016;8/11/2016;;;
;;2016;9/11/2016;;;
;;2016;10/11/2016;;;
;;2016;11/11/2016;;;
;;2016;12/11/2016;;;
;;2016;13/11/2016;;;
;;2016;14/11/2016;;;
;;2016;15/11/2016;;;
;;2016;16/11/2016;;;
;;2016;17/11/2016;;;
;;2016;18/11/2016;;;
;;2016;19/11/2016;;;
;;2016;20/11/2016;;;
;;2016;21/11/2016;;;
;;2016;22/11/2016;;;
;;2016;23/11/2016;;;
;;2016;24/11/2016;;;
;;2016;25/11/2016;;;
;;2016;26/11/2016;;;
;;2016;27/11/2016;;;
;;2016;28/11/2016;;;
;;2016;29/11/2016;;;
;;2016;30/11/2016;;;
;;2016;1/12/2016;;;
;;2016;2/12/2016;;;
;;2016;3/12/2016;;;
;;2016;4/12/2016;;;
;;2016;5/12/2016;;;
;;2016;6/12/2016;;;
;;2016;7/12/2016;;;
;;2016;8/12/2016;;;
;;2016;9/12/2016;;;
;;2016;10/12/2016;;;
;;2016;11/12/2016;;;
;;2016;12/12/2016;;;
;;2016;13/12/2016;;;
;;2016;14/12/2016;;;
;;2016;15/12/2016;;;
;;2016;16/12/2016;;;
;;2016;17/12/2016;;;
;;2016;18/12/2016;;;
;;2016;19/12/2016;;;
;;2016;20/12/2016;;;
;;2016;21/12/2016;;;
22;12;2016;22/12/2016;1,55;197,854;198,764
23;12;2016;23/12/2016;1,64;197,942;198,852
24;12;2016;24/12/2016;1,65;197,945;198,855
25;12;2016;25/12/2016;1,67;197,966;198,876
26;12;2016;26/12/2016;1,67;197,966;198,876
27;12;2016;27/12/2016;1,65;197,95;198,86
28;12;2016;28/12/2016;1,64;197,936;198,846
29;12;2016;29/12/2016;1,64;197,941;198,851
30;12;2016;30/12/2016;1,64;197,94;198,85
31;12;2016;31/12/2016;1,65;197,95;198,86
1;1;2017;1/1/2017;1,66;197,957;198,867
2;1;2017;2/1/2017;1,66;197,962;198,872
3;1;2017;3/1/2017;1,63;197,926;198,836
4;1;2017;4/1/2017;1,62;197,917;198,827
5;1;2017;5/1/2017;1,61;197,907;198,817
6;1;2017;6/1/2017;1,6;197,905;198,815
7;1;2017;7/1/2017;1,6;197,896;198,806
8;1;2017;8/1/2017;1,6;197,898;198,808
9;1;2017;9/1/2017;1,6;197,901;198,811
10;1;2017;10/1/2017;1,59;197,888;198,798
11;1;2017;11/1/2017;1,59;197,889;198,799
12;1;2017;12/1/2017;1,58;197,883;198,793
13;1;2017;13/1/2017;1,59;197,89;198,8
14;1;2017;14/1/2017;1,58;197,878;198,788
15;1;2017;15/1/2017;1,59;197,886;198,796
16;1;2017;16/1/2017;1,59;197,892;198,802
17;1;2017;17/1/2017;1,57;197,872;198,782
18;1;2017;18/1/2017;1,57;197,869;198,779
19;1;2017;19/1/2017;1,57;197,875;198,785
20;1;2017;20/1/2017;1,56;197,863;198,773
21;1;2017;21/1/2017;1,56;197,861;198,771
22;1;2017;22/1/2017;1,57;197,867;198,777
23;1;2017;23/1/2017;1,57;197,87;198,78
24;1;2017;24/1/2017;1,55;197,852;198,762
25;1;2017;25/1/2017;1,55;197,852;198,762
26;1;2017;26/1/2017;1,55;197,846;198,756
27;1;2017;27/1/2017;1,55;197,849;198,759
28;1;2017;28/1/2017;1,55;197,849;198,759
29;1;2017;29/1/2017;1,55;197,847;198,757
30;1;2017;30/1/2017;1,56;197,864;198,774
31;1;2017;31/1/2017;1,52;197,825;198,735
1;2;2017;1/2/2017;1,53;197,832;198,742
2;2;2017;2/2/2017;1,52;197,824;198,734
3;2;2017;3/2/2017;1,53;197,833;198,743
4;2;2017;4/2/2017;1,53;197,829;198,739
5;2;2017;5/2/2017;1,54;197,844;198,754
6;2;2017;6/2/2017;1,57;197,874;198,784
7;2;2017;7/2/2017;1,56;197,86;198,77
8;2;2017;8/2/2017;1,56;197,856;198,766
9;2;2017;9/2/2017;1,55;197,846;198,756
10;2;2017;10/2/2017;1,55;197,849;198,759
11;2;2017;11/2/2017;1,56;197,858;198,768
12;2;2017;12/2/2017;1,55;197,851;198,761
13;2;2017;13/2/2017;1,54;197,842;198,752
14;2;2017;14/2/2017;1,53;197,832;198,742
15;2;2017;15/2/2017;1,53;197,829;198,739
16;2;2017;16/2/2017;1,52;197,82;198,73
17;2;2017;17/2/2017;1,52;197,817;198,727
18;2;2017;18/2/2017;1,53;197,828;198,738
19;2;2017;19/2/2017;1,54;197,844;198,754
20;2;2017;20/2/2017;1,54;197,839;198,749
21;2;2017;21/2/2017;1,54;197,836;198,746
22;2;2017;22/2/2017;1,53;197,832;198,742
23;2;2017;23/2/2017;1,52;197,822;198,732
24;2;2017;24/2/2017;1,55;197,85;198,76
25;2;2017;25/2/2017;1,56;197,861;198,771
26;2;2017;26/2/2017;1,57;197,867;198,777
27;2;2017;27/2/2017;1,58;197,884;198,794
28;2;2017;28/2/2017;1,56;197,864;198,774
1;3;2017;1/3/2017;1,55;197,85;198,76
2;3;2017;2/3/2017;1,56;197,864;198,774
3;3;2017;3/3/2017;1,57;197,872;198,782
4;3;2017;4/3/2017;1,59;197,888;198,798
5;3;2017;5/3/2017;1,59;197,89;198,8
6;3;2017;6/3/2017;1,58;197,882;198,792
7;3;2017;7/3/2017;1,58;197,876;198,786
8;3;2017;8/3/2017;1,58;197,884;198,794
9;3;2017;9/3/2017;1,58;197,884;198,794
10;3;2017;10/3/2017;1,6;197,897;198,807
11;3;2017;11/3/2017;1,6;197,9;198,81
12;3;2017;12/3/2017;1,61;197,906;198,816
13;3;2017;13/3/2017;1,61;197,905;198,815
14;3;2017;14/3/2017;1,59;197,895;198,805
15;3;2017;15/3/2017;1,6;197,899;198,809
16;3;2017;16/3/2017;1,59;197,887;198,797
17;3;2017;17/3/2017;1,59;197,892;198,802
18;3;2017;18/3/2017;1,6;197,9;198,81
19;3;2017;19/3/2017;1,59;197,89;198,8
20;3;2017;20/3/2017;1,59;197,891;198,801
21;3;2017;21/3/2017;1,54;197,838;198,748
22;3;2017;22/3/2017;1,51;197,805;198,715
23;3;2017;23/3/2017;1,51;197,805;198,715
24;3;2017;24/3/2017;1,51;197,809;198,719
25;3;2017;25/3/2017;1,53;197,834;198,744
26;3;2017;26/3/2017;1,52;197,825;198,735
27;3;2017;27/3/2017;1,54;197,836;198,746
28;3;2017;28/3/2017;1,61;197,905;198,815
29;3;2017;29/3/2017;1,67;197,969;198,879
30;3;2017;30/3/2017;1,7;197,998;198,908
31;3;2017;31/3/2017;1,66;197,958;198,868
1;4;2017;1/4/2017;1,64;197,941;198,851
2;4;2017;2/4/2017;1,71;198,008;198,918
3;4;2017;3/4/2017;1,66;197,963;198,873
4;4;2017;4/4/2017;1,63;197,932;198,842
5;4;2017;5/4/2017;1,54;197,843;198,753
6;4;2017;6/4/2017;1,52;197,823;198,733
7;4;2017;7/4/2017;1,52;197,815;198,725
8;4;2017;8/4/2017;1,51;197,814;198,724
9;4;2017;9/4/2017;1,51;197,811;198,721
10;4;2017;10/4/2017;1,5;197,804;198,714
11;4;2017;11/4/2017;1,5;197,799;198,709
12;4;2017;12/4/2017;1,49;197,786;198,696
13;4;2017;13/4/2017;1,48;197,783;198,693
14;4;2017;14/4/2017;1,5;197,803;198,713
15;4;2017;15/4/2017;1,51;197,811;198,721
16;4;2017;16/4/2017;1,5;197,797;198,707
17;4;2017;17/4/2017;1,46;197,759;198,669
18;4;2017;18/4/2017;1,45;197,755;198,665
19;4;2017;19/4/2017;1,48;197,775;198,685
20;4;2017;20/4/2017;1,46;197,755;198,665
21;4;2017;21/4/2017;1,48;197,782;198,692
22;4;2017;22/4/2017;1,46;197,764;198,674
23;4;2017;23/4/2017;1,46;197,756;198,666
24;4;2017;24/4/2017;1,46;197,758;198,668
25;4;2017;25/4/2017;1,44;197,737;198,647
26;4;2017;26/4/2017;1,43;197,728;198,638
27;4;2017;27/4/2017;1,43;197,734;198,644
28;4;2017;28/4/2017;1,43;197,73;198,64
29;4;2017;29/4/2017;1,42;197,718;198,628
30;4;2017;30/4/2017;1,41;197,713;198,623
;;2017;1/5/2017;;;
;;2017;2/5/2017;;;
;;2017;3/5/2017;;;
;;2017;4/5/2017;;;
;;2017;5/5/2017;;;
;;2017;6/5/2017;;;
;;2017;7/5/2017;;;
;;2017;8/5/2017;;;
;;2017;9/5/2017;;;
;;2017;10/5/2017;;;
;;2017;11/5/2017;;;
;;2017;12/5/2017;;;
;;2017;13/5/2017;;;
;;2017;14/5/2017;;;
;;2017;15/5/2017;;;
;;2017;16/5/2017;;;
;;2017;17/5/2017;;;
;;2017;18/5/2017;;;
;;2017;19/5/2017;;;
;;2017;20/5/2017;;;
;;2017;21/5/2017;;;
;;2017;22/5/2017;;;
;;2017;23/5/2017;;;
;;2017;24/5/2017;;;
;;2017;25/5/2017;;;
;;2017;26/5/2017;;;
;;2017;27/5/2017;;;
;;2017;28/5/2017;;;
;;2017;29/5/2017;;;
;;2017;30/5/2017;;;
;;2017;31/5/2017;;;
;;2017;1/6/2017;;;
;;2017;2/6/2017;;;
;;2017;3/6/2017;;;
;;2017;4/6/2017;;;
;;2017;5/6/2017;;;
;;2017;6/6/2017;;;
;;2017;7/6/2017;;;
;;2017;8/6/2017;;;
;;2017;9/6/2017;;;
;;2017;10/6/2017;;;
;;2017;11/6/2017;;;
;;2017;12/6/2017;;;
;;2017;13/6/2017;;;
;;2017;14/6/2017;;;
;;2017;15/6/2017;;;
;;2017;16/6/2017;;;
;;2017;17/6/2017;;;
;;2017;18/6/2017;;;
;;2017;19/6/2017;;;
;;2017;20/6/2017;;;
;;2017;21/6/2017;;;
;;2017;22/6/2017;;;
;;2017;23/6/2017;;;
;;2017;24/6/2017;;;
;;2017;25/6/2017;;;
;;2017;26/6/2017;;;
;;2017;27/6/2017;;;
;;2017;28/6/2017;;;
;;2017;29/6/2017;;;
;;2017;30/6/2017;;;
;;2017;1/7/2017;;;
;;2017;2/7/2017;;;
;;2017;3/7/2017;;;
;;2017;4/7/2017;;;
;;2017;5/7/2017;;;
;;2017;6/7/2017;;;
;;2017;7/7/2017;;;
;;2017;8/7/2017;;;
;;2017;9/7/2017;;;
;;2017;10/7/2017;;;
;;2017;11/7/2017;;;
;;2017;12/7/2017;;;
;;2017;13/7/2017;;;
;;2017;14/7/2017;;;
;;2017;15/7/2017;;;
;;2017;16/7/2017;;;
;;2017;17/7/2017;;;
;;2017;18/7/2017;;;
;;2017;19/7/2017;;;
;;2017;20/7/2017;;;
;;2017;21/7/2017;;;
;;2017;22/7/2017;;;
;;2017;23/7/2017;;;
;;2017;24/7/2017;;;
;;2017;25/7/2017;;;
;;2017;26/7/2017;;;
;;2017;27/7/2017;;;
;;2017;28/7/2017;;;
;;2017;29/7/2017;;;
;;2017;30/7/2017;;;
;;2017;31/7/2017;;;
;;2017;1/8/2017;;;
;;2017;2/8/2017;;;
;;2017;3/8/2017;;;
;;2017;4/8/2017;;;
;;2017;5/8/2017;;;
;;2017;6/8/2017;;;
;;2017;7/8/2017;;;
;;2017;8/8/2017;;;
;;2017;9/8/2017;;;
;;2017;10/8/2017;;;
;;2017;11/8/2017;;;
;;2017;12/8/2017;;;
;;2017;13/8/2017;;;
;;2017;14/8/2017;;;
;;2017;15/8/2017;;;
;;2017;16/8/2017;;;
;;2017;17/8/2017;;;
;;2017;18/8/2017;;;
;;2017;19/8/2017;;;
;;2017;20/8/2017;;;
;;2017;21/8/2017;;;
;;2017;22/8/2017;;;
;;2017;23/8/2017;;;
;;2017;24/8/2017;;;
;;2017;25/8/2017;;;
;;2017;26/8/2017;;;
;;2017;27/8/2017;;;
;;2017;28/8/2017;;;
;;2017;29/8/2017;;;
;;2017;30/8/2017;;;
;;2017;31/8/2017;;;
;;2017;1/9/2017;;;
;;2017;2/9/2017;;;
;;2017;3/9/2017;;;
;;2017;4/9/2017;;;
;;2017;5/9/2017;;;
;;2017;6/9/2017;;;
;;2017;7/9/2017;;;
;;2017;8/9/2017;;;
;;2017;9/9/2017;;;
;;2017;10/9/2017;;;
;;2017;11/9/2017;;;
;;2017;12/9/2017;;;
;;2017;13/9/2017;;;
;;2017;14/9/2017;;;
;;2017;15/9/2017;;;
;;2017;16/9/2017;;;
;;2017;17/9/2017;;;
;;2017;18/9/2017;;;
;;2017;19/9/2017;;;
;;2017;20/9/2017;;;
;;2017;21/9/2017;;;
;;2017;22/9/2017;;;
;;2017;23/9/2017;;;
;;2017;24/9/2017;;;
;;2017;25/9/2017;;;
;;2017;26/9/2017;;;
;;2017;27/9/2017;;;
;;2017;28/9/2017;;;
;;2017;29/9/2017;;;
;;2017;30/9/2017;;;
;;2017;1/10/2017;;;
;;2017;2/10/2017;;;
;;2017;3/10/2017;;;
;;2017;4/10/2017;;;
;;2017;5/10/2017;;;
;;2017;6/10/2017;;;
;;2017;7/10/2017;;;
;;2017;8/10/2017;;;
;;2017;9/10/2017;;;
;;2017;10/10/2017;;;
;;2017;11/10/2017;;;
;;2017;12/10/2017;;;
;;2017;13/10/2017;;;
;;2017;14/10/2017;;;
;;2017;15/10/2017;;;
;;2017;16/10/2017;;;
;;2017;17/10/2017;;;
;;2017;18/10/2017;;;
;;2017;19/10/2017;;;
;;2017;20/10/2017;;;
;;2017;21/10/2017;;;
;;2017;22/10/2017;;;
;;2017;23/10/2017;;;
;;2017;24/10/2017;;;
;;2017;25/10/2017;;;
;;2017;26/10/2017;;;
;;2017;27/10/2017;;;
;;2017;28/10/2017;;;
;;2017;29/10/2017;;;
;;2017;30/10/2017;;;
;;2017;31/10/2017;;;
;;2017;1/11/2017;;;
2;11;2017;2/11/2017;1,56;197,86;198,77
3;11;2017;3/11/2017;1,64;197,943;198,853
4;11;2017;4/11/2017;1,65;197,953;198,863
5;11;2017;5/11/2017;1,67;197,968;198,878
6;11;2017;6/11/2017;1,69;197,992;198,902
7;11;2017;7/11/2017;1,71;198,006;198,916
8;11;2017;8/11/2017;1,72;198,025;198,935
9;11;2017;9/11/2017;1,7;198;198,91
10;11;2017;10/11/2017;1,69;197,988;198,898
11;11;2017;11/11/2017;1,67;197,974;198,884
12;11;2017;12/11/2017;1,66;197,961;198,871
13;11;2017;13/11/2017;1,65;197,951;198,861
14;11;2017;14/11/2017;1,63;197,932;198,842
15;11;2017;15/11/2017;1,61;197,907;198,817
16;11;2017;16/11/2017;1,56;197,865;198,775
17;11;2017;17/11/2017;1,6;197,896;198,806
18;11;2017;18/11/2017;1,6;197,899;198,809
19;11;2017;19/11/2017;1,61;197,908;198,818
20;11;2017;20/11/2017;1,61;197,914;198,824
21;11;2017;21/11/2017;1,61;197,913;198,823
22;11;2017;22/11/2017;1,61;197,909;198,819
23;11;2017;23/11/2017;1,59;197,89;198,8
24;11;2017;24/11/2017;1,59;197,893;198,803
25;11;2017;25/11/2017;1,59;197,891;198,801
26;11;2017;26/11/2017;1,59;197,893;198,803
27;11;2017;27/11/2017;1,59;197,892;198,802
28;11;2017;28/11/2017;1,6;197,898;198,808
;11;2017;29/11/2017;;;
;11;2017;30/11/2017;;;
1;12;2017;1/12/2017;1,58;197,88;198,79
2;12;2017;2/12/2017;1,61;197,913;198,823
3;12;2017;3/12/2017;1,68;197,981;198,891
4;12;2017;4/12/2017;1,67;197,975;198,885
5;12;2017;5/12/2017;1,64;197,939;198,849
6;12;2017;6/12/2017;1,67;197,966;198,876
7;12;2017;7/12/2017;1,64;197,94;198,85
8;12;2017;8/12/2017;1,63;197,932;198,842
9;12;2017;9/12/2017;1,62;197,923;198,833
10;12;2017;10/12/2017;1,62;197,923;198,833
11;12;2017;11/12/2017;1,63;197,927;198,837
12;12;2017;12/12/2017;1,61;197,91;198,82
13;12;2017;13/12/2017;1,59;197,895;198,805
14;12;2017;14/12/2017;1,59;197,885;198,795
15;12;2017;15/12/2017;1,58;197,884;198,794
16;12;2017;16/12/2017;1,57;197,873;198,783
17;12;2017;17/12/2017;1,59;197,89;198,8
18;12;2017;18/12/2017;1,59;197,895;198,805
19;12;2017;19/12/2017;1,59;197,895;198,805
20;12;2017;20/12/2017;1,59;197,888;198,798
21;12;2017;21/12/2017;1,58;197,88;198,79
22;12;2017;22/12/2017;1,57;197,87;198,78
23;12;2017;23/12/2017;1,58;197,878;198,788
24;12;2017;24/12/2017;1,59;197,894;198,804
25;12;2017;25/12/2017;1,61;197,906;198,816
26;12;2017;26/12/2017;1,61;197,907;198,817
27;12;2017;27/12/2017;1,6;197,895;198,805
28;12;2017;28/12/2017;1,59;197,893;198,803
29;12;2017;29/12/2017;1,58;197,875;198,785
30;12;2017;30/12/2017;1,58;197,879;198,789
31;12;2017;31/12/2017;1,59;197,887;198,797
;1;2018;1/1/2018;1,6;197,904;198,814
;1;2018;2/1/2018;1,6;197,902;198,812
;1;2018;3/1/2018;1,6;197,896;198,806
;1;2018;4/1/2018;1,59;197,89;198,8
;1;2018;5/1/2018;1,61;197,914;198,824
;1;2018;6/1/2018;1,61;197,911;198,821
;1;2018;7/1/2018;1,63;197,932;198,842
;1;2018;8/1/2018;1,63;197,934;198,844
;1;2018;9/1/2018;1,62;197,921;198,831
;1;2018;10/1/2018;1,61;197,912;198,822
;1;2018;11/1/2018;1,65;197,946;198,856
;1;2018;12/1/2018;1,63;197,932;198,842
;1;2018;13/1/2018;1,62;197,917;198,827
;1;2018;14/1/2018;1,65;197,947;198,857
;1;2018;15/1/2018;1,65;197,949;198,859
;1;2018;16/1/2018;1,64;197,938;198,848
;1;2018;17/1/2018;1,63;197,935;198,845
;1;2018;18/1/2018;1,62;197,918;198,828
;1;2018;19/1/2018;1,63;197,935;198,845
;1;2018;20/1/2018;1,62;197,925;198,835
;1;2018;21/1/2018;1,64;197,944;198,854
;1;2018;22/1/2018;1,65;197,951;198,861
;1;2018;23/1/2018;1,65;197,95;198,86
;1;2018;24/1/2018;1,65;197,948;198,858
;1;2018;25/1/2018;1,67;197,968;198,878
;1;2018;26/1/2018;1,66;197,964;198,874
;1;2018;27/1/2018;1,66;197,962;198,872
;1;2018;28/1/2018;1,66;197,956;198,866
;1;2018;29/1/2018;1,65;197,948;198,858
;1;2018;30/1/2018;1,65;197,951;198,861
;1;2018;31/1/2018;1,63;197,93;198,84
;2;2018;1/2/2018;1,63;197,932;198,842
;2;2018;2/2/2018;1,64;197,937;198,847
;2;2018;3/2/2018;1,65;197,954;198,864
;2;2018;4/2/2018;1,67;197,97;198,88
;2;2018;5/2/2018;1,67;197,969;198,879
;2;2018;6/2/2018;1,65;197,951;198,861
;2;2018;7/2/2018;1,66;197,956;198,866
;2;2018;8/2/2018;1,64;197,944;198,854
;2;2018;9/2/2018;1,64;197,939;198,849
;2;2018;10/2/2018;1,66;197,963;198,873
;2;2018;11/2/2018;1,66;197,961;198,871
;2;2018;12/2/2018;1,68;197,98;198,89
;2;2018;13/2/2018;1,67;197,968;198,878
;2;2018;14/2/2018;1,65;197,955;198,865
;2;2018;15/2/2018;1,66;197,959;198,869
;2;2018;16/2/2018;1,65;197,953;198,863
;2;2018;17/2/2018;1,64;197,942;198,852
;2;2018;18/2/2018;1,61;197,915;198,825
;2;2018;19/2/2018;1,63;197,929;198,839
;2;2018;20/2/2018;1,62;197,917;198,827
;2;2018;21/2/2018;1,62;197,92;198,83
;2;2018;22/2/2018;1,63;197,929;198,839
;2;2018;23/2/2018;1,65;197,947;198,857
;2;2018;24/2/2018;1,67;197,974;198,884
;2;2018;25/2/2018;1,7;198,002;198,912
;2;2018;26/2/2018;1,7;197,995;198,905
;2;2018;27/2/2018;1,67;197,969;198,879
;2;2018;28/2/2018;1,65;197,947;198,857
;3;2018;1/3/2018;1,66;197,96;198,87
;3;2018;2/3/2018;1,65;197,95;198,86
;3;2018;3/3/2018;1,64;197,943;198,853
;3;2018;4/3/2018;1,65;197,955;198,865
;3;2018;5/3/2018;1,65;197,949;198,859
;3;2018;6/3/2018;1,64;197,944;198,854
;3;2018;7/3/2018;1,62;197,92;198,83
;3;2018;8/3/2018;1,62;197,916;198,826
;3;2018;9/3/2018;1,6;197,901;198,811
;3;2018;10/3/2018;1,62;197,92;198,83
;3;2018;11/3/2018;1,64;197,943;198,853
;3;2018;12/3/2018;1,65;197,95;198,86
;3;2018;13/3/2018;1,64;197,943;198,853
;3;2018;14/3/2018;1,63;197,925;198,835
;3;2018;15/3/2018;1,64;197,94;198,85
;3;2018;16/3/2018;1,64;197,937;198,847
;3;2018;17/3/2018;1,64;197,939;198,849
;3;2018;18/3/2018;1,64;197,944;198,854
;3;2018;19/3/2018;1,65;197,953;198,863
;3;2018;20/3/2018;1,63;197,929;198,839
;3;2018;21/3/2018;1,64;197,938;198,848
;3;2018;22/3/2018;1,65;197,948;198,858
;3;2018;23/3/2018;1,64;197,94;198,85
;3;2018;24/3/2018;1,64;197,941;198,851
;3;2018;25/3/2018;1,65;197,952;198,862
;3;2018;26/3/2018;1,65;197,954;198,864
;3;2018;27/3/2018;1,65;197,946;198,856
;3;2018;28/3/2018;1,63;197,932;198,842
;3;2018;29/3/2018;1,63;197,93;198,84
;3;2018;30/3/2018;1,65;197,95;198,86
;3;2018;31/3/2018;1,64;197,938;198,848
;4;2018;1/4/2018;1,66;197,955;198,865
;4;2018;2/4/2018;1,66;197,957;198,867
;4;2018;3/4/2018;1,65;197,949;198,859
;4;2018;4/4/2018;1,63;197,932;198,842
;4;2018;5/4/2018;1,63;197,928;198,838
;4;2018;6/4/2018;1,62;197,917;198,827
;4;2018;7/4/2018;1,64;197,941;198,851
